index,Tweets
311,good thing glass intact
314,secret special military operation secret ukrainians notice
315,got news damage kramatorsk train station
316,thing tons munition thing tons explosives think like noticed
318,said hit tons ammo mean detonate
322,compare tianjin rated tons
323,says tons ammo exploded kramatorsk don't believe second people notices
324,lot i'm goin ask list things things wrong jsut dont agree lot
325,oh block engaging conversation
326,talk self chose handpicked information provided ua cheerleaders
328,manned rpgs mortars grenade launchers anti tank cannons etc
329,don't think trenches covered logs dirt help
331,russians know bombed covered
332,o know russians shoot area mined fortified positions shoot atgms
333,drive hole jobdo underestimate
334,wagner africa possibly tb drones
336,think it's requirement dont job
337,big job flex seal
339,crimean weather unpredictable time year weather stations predicted black clouds sevastopol today
341,dark cloud settles crimea
344,argue ru ua army underequipped mobilized units
345,hold let help buddy
346,good ting blurred ocean
348,miss geroman things fun blocked making fun bad predictions day
349,actually geroman best analysts twitter reverse thing says
350,moths later time tell
355,don't believe rebrand exist shape form russia needs abroad
356,it's horrible sit translate message want sift hundreds thousands messages information relevant applies speaking russian ukrainian comes flowing conflict
358,different versions web app i've plugin translation work tested z success
359,i've k version know work z version
360,im pretty sure prefer kill artillery
361,it's called blocked twitter
362,need right click translate chats don't
366,require click twice post
368,think telegram horrible neat trick learned way late use chrome google translate plugin telegram web app auto translate
369,pretty funny read got pretty right
370,hav idea know strike force left bank
371,scribblemaps supporting encouraging map
374,days ago asked help training tqs contact looking soft stretchers emergency blankets send dm twitter help comes stretchers it's preferable found ukraine
376,russian diplomates expelled sweden
379,oh it's assassination information
380,th operational regiment th obron sko vng appears slimmed organization bit
381,k video repeated drone attacks skilled drone operators suppress enemy ua nd bn th brigade advance foot starts clearing trenches intense usual
384,don't care people think appreciate
387,compare cost m camo nets cheap
388,wonder wont new sturdier camo nets developed soon multi purpose nets able stop loitering serve coverhide ir signatures i'm probably way
389,it's it's going russians left right bank
390,understand old claim correctly
391,want rate outcome future offensive scale consider goal offensive thank
392,guy claimed oleshki liberated
393,like fair assessment situation dnipro delta
394,nearly imo smart guy
395,reminder important it's important inflate expectations
396,meant critique isw use map statements context
397,directed isw posted days ago isw map started circulating today wanted clarify it's important read text provide read methodology fully understand map
400,need stretchers bit harder ship
401,help items send dm twitter options contact
403,request updated need bandages
405,thank offer send pm provide details
406,read isw methods it's actually important understand map
408,it's recommended read write look map read methodology blue areas dashed edge marks claimed ua conuteroffensive thing coloring ua areas
409,isw updated showing blue areas delta wanted satellite layer drew areas colored swamp areas yellow seen evidence ukraine control highway it's isw methodology read
410,lol kidding i'm sorry
412,sounds great send dm dont lose twitter fog
413,asking discarded chinese ones need good train
415,looking tourniquets training purposes ukraine send dm anythign useful spare needed unknown moment waiting clarification
416,looking tourniquets training purposes ukraine send dm anythign useful spare
417,new high res video terra english subs
424,don't forget csgo overlay bakhmut evac video
427,interesting images o road bakhmut
428,don't problem maybe ugly moustache joseph albert herman acceptable
429,help friend alex finish o truck rd brigade
430,hunting season orcs open
432,k having negative impact russian tourists experience crossing donetsk oblast
441,people claimed ukraine bridgehead months ago complete garbage
442,way area boats possibly walk roads it's gonna look like roads check google animated enhance paths travel
443,people crazy crossdnipro offensive bridge head scattered reports ua forces having positions left bank dnipro happened liberated kherson it's roadless swamp
446,want look frontline google earth self text pastebin copy text file somethingkml
447,green road likely route bakhmut russians having free line sight gloc negative impact uas abilities transport supplies injured
448,comes city self rough estimate ruaf captured city month moment afu tying hold railway line east ruaf moment advancing north south half stable
449,applying enhanced d view google earth good understanding going assessment isn't optimal situation ukrainian forces
451,ruaf advances nw city o road subsequently getting line sight small arms fire control possible approaches bakhmut visual range point it's matter m
452,argue idiots internet stop feeding troll
453,argue ship armed people transponder far sams belt threatful banned passage belts sorry shitty translation
456,de kanske var dr och vade den hr gubben ser inte direkt ut att ha m sanden dr r ganska speciell jag har svrt att tro att man hittar den ukraina
457,bilden ser ut att vara frn kabusa eller falsterbo skjutflt
458,turn way expected instead continued focus try encircle bakhmut ruaf shifted urban assault tactic likely costly tactic comes lives probably spare equipment
462,insane guy filming got balls
465,it's slow bots started recycling lies year
466,favorite refuse believe sorcery
467,satellite images topic i'll repost luck harvest vatnik tears
468,yeah barely know toilets exist
469,vatniks found post fortified lines vatnik tears harvested moment salt storage filling
472,actually wrong underscore fake yankeein
475,don't better says war zone question fuck goes war orange rotating lights orange vests ofc geolocated germany
476,spring feelings year ago
480,reach higher find scale later
484,know failed life turn taliban's help losing argument vehicles painted
486,wanted aware telegram account nd video hours noticed
488,second bs video telegram account today
491,it's true it's year old video
492,rarely exited old videos
495,yeah caught eye time saw
498,cut slapped logo lied location
499,load crap germany video edited remove german car
500,russian forces manage capture bakhmut
501,area sand it's drained
502,close drone view tm kreminna area
504,hello wood tooth tupolev
505,pegov look like good night sleep vladlen tatarsky killed exploding dildo notice armed guard background maybe threat real maybe it's junkie paranoia
507,pegov look like good night sleep vladlen tatarsky killed exploding dildo notice armed guard background
508,new soviet state goal putin regimen it's followers
509,actually know original source doctored documents start appear hit telegram twitter week ago documents discord servers original
510,ones fbi arrested guy leaking
511,little bit difference usnato forces ukrainian like air supremacy
512,dare question credentials phd
516,soviet commander giving order kill retreats
521,going someones boyfriend prison sure
522,mean putins comfort zone
523,russian forces captured elevator building today bakhmut afu managed defend high value targets like railway station public bathroom containing toilets john deere repair shop extensive schematics tractors
525,i've given project time frontline standstill
530,happen ukraine achieve air supremacy frontline russia simply air defense
